scene_id,scene_family,condition_key,target_object_id,RETRIEVE_NOW,REARRANGE_FIRST,unanimous,v16_REARRANGE_FIRST,changed_vs_v16
scene_fc_blocked_v01,FC_BLOCKED,C0,64,5,0,True,0,0
scene_fc_blocked_v02,FC_BLOCKED,C0,53,4,1,False,1,0
scene_fc_blocked_v03,FC_BLOCKED,C0,12,5,0,True,0,0
scene_fc_blocked_v04,FC_BLOCKED,C0,89,5,0,True,0,0
scene_fc_blocked_v05,FC_BLOCKED,C0,59,0,5,True,5,0
scene_fc_clear_v01,FC_CLEAR,C0,53,5,0,True,0,0
scene_fc_clear_v02,FC_CLEAR,C0,29,5,0,True,0,0
scene_fc_clear_v03,FC_CLEAR,C0,95,5,0,True,0,0
scene_fc_clear_v04,FC_CLEAR,C0,61,5,0,True,0,0
scene_fc_clear_v05,FC_CLEAR,C0,62,5,0,True,0,0
scene_lift_and_relocate_v01,LIFT_AND_RELOCATE,C0,59,0,5,True,5,0
scene_lift_and_relocate_v02,LIFT_AND_RELOCATE,C0,70,0,5,True,5,0
scene_lift_and_relocate_v03,LIFT_AND_RELOCATE,C0,12,0,5,True,5,0
scene_lift_and_relocate_v04,LIFT_AND_RELOCATE,C0,68,0,5,True,5,0
scene_lift_and_relocate_v05,LIFT_AND_RELOCATE,C0,43,0,5,True,5,0
scene_rotate_v01,ROTATE,C0,12,0,5,True,5,0
scene_rotate_v02,ROTATE,C0,38,0,5,True,5,0
scene_rotate_v03,ROTATE,C0,83,0,5,True,5,0
scene_rotate_v04,ROTATE,C0,47,1,4,False,4,0
scene_rotate_v05,ROTATE,C0,44,0,5,True,5,0
scene_translate_v01,TRANSLATE,C0,67,0,5,True,5,0
scene_translate_v02,TRANSLATE,C0,45,2,3,False,3,0
scene_translate_v03,TRANSLATE,C0,18,0,5,True,5,0
scene_translate_v04,TRANSLATE,C0,13,0,5,True,5,0
scene_translate_v05,TRANSLATE,C0,54,0,5,True,5,0
scene_fc_blocked_v01,FC_BLOCKED,C1,64,4,1,False,1,0
scene_fc_blocked_v02,FC_BLOCKED,C1,53,4,1,False,1,0
scene_fc_blocked_v03,FC_BLOCKED,C1,12,3,2,False,2,0
scene_fc_blocked_v04,FC_BLOCKED,C1,89,2,3,False,3,0
scene_fc_blocked_v05,FC_BLOCKED,C1,59,0,5,True,5,0
scene_fc_clear_v01,FC_CLEAR,C1,53,2,3,False,3,0
scene_fc_clear_v02,FC_CLEAR,C1,29,5,0,True,0,0
scene_fc_clear_v03,FC_CLEAR,C1,95,5,0,True,0,0
scene_fc_clear_v04,FC_CLEAR,C1,61,4,1,False,1,0
scene_fc_clear_v05,FC_CLEAR,C1,62,4,1,False,1,0
scene_lift_and_relocate_v01,LIFT_AND_RELOCATE,C1,59,0,5,True,5,0
scene_lift_and_relocate_v02,LIFT_AND_RELOCATE,C1,70,0,5,True,5,0
scene_lift_and_relocate_v03,LIFT_AND_RELOCATE,C1,12,0,5,True,5,0
scene_lift_and_relocate_v04,LIFT_AND_RELOCATE,C1,68,0,5,True,5,0
scene_lift_and_relocate_v05,LIFT_AND_RELOCATE,C1,43,0,5,True,5,0
scene_rotate_v01,ROTATE,C1,12,0,5,True,5,0
scene_rotate_v02,ROTATE,C1,38,0,5,True,5,0
scene_rotate_v03,ROTATE,C1,83,1,4,False,4,0
scene_rotate_v04,ROTATE,C1,47,0,5,True,5,0
scene_rotate_v05,ROTATE,C1,44,0,5,True,5,0
scene_translate_v01,TRANSLATE,C1,67,0,5,True,5,0
scene_translate_v02,TRANSLATE,C1,45,5,0,True,0,0
scene_translate_v03,TRANSLATE,C1,18,0,5,True,5,0
scene_translate_v04,TRANSLATE,C1,13,0,5,True,5,0
scene_translate_v05,TRANSLATE,C1,54,0,5,True,5,0
scene_fc_blocked_v01,FC_BLOCKED,C2_D4,64,5,0,True,0,0
scene_fc_blocked_v02,FC_BLOCKED,C2_D4,53,4,1,False,1,0
scene_fc_blocked_v03,FC_BLOCKED,C2_D4,12,5,0,True,0,0
scene_fc_blocked_v04,FC_BLOCKED,C2_D4,89,2,3,False,3,0
scene_fc_blocked_v05,FC_BLOCKED,C2_D4,59,0,5,True,5,0
scene_fc_clear_v01,FC_CLEAR,C2_D4,53,5,0,True,0,0
scene_fc_clear_v02,FC_CLEAR,C2_D4,29,5,0,True,0,0
scene_fc_clear_v03,FC_CLEAR,C2_D4,95,5,0,True,0,0
scene_fc_clear_v04,FC_CLEAR,C2_D4,61,5,0,True,0,0
scene_fc_clear_v05,FC_CLEAR,C2_D4,62,5,0,True,0,0
scene_lift_and_relocate_v01,LIFT_AND_RELOCATE,C2_D4,59,0,5,True,5,0
scene_lift_and_relocate_v02,LIFT_AND_RELOCATE,C2_D4,70,0,5,True,5,0
scene_lift_and_relocate_v03,LIFT_AND_RELOCATE,C2_D4,12,0,5,True,5,0
scene_lift_and_relocate_v04,LIFT_AND_RELOCATE,C2_D4,68,0,5,True,5,0
scene_lift_and_relocate_v05,LIFT_AND_RELOCATE,C2_D4,43,0,5,True,5,0
scene_rotate_v01,ROTATE,C2_D4,12,0,5,True,5,0
scene_rotate_v02,ROTATE,C2_D4,38,0,5,True,5,0
scene_rotate_v03,ROTATE,C2_D4,83,0,5,True,5,0
scene_rotate_v04,ROTATE,C2_D4,47,0,5,True,5,0
scene_rotate_v05,ROTATE,C2_D4,44,0,5,True,5,0
scene_translate_v01,TRANSLATE,C2_D4,67,0,5,True,5,0
scene_translate_v02,TRANSLATE,C2_D4,45,0,5,True,5,0
scene_translate_v03,TRANSLATE,C2_D4,18,0,5,True,5,0
scene_translate_v04,TRANSLATE,C2_D4,13,0,5,True,5,0
scene_translate_v05,TRANSLATE,C2_D4,54,0,5,True,5,0
scene_fc_blocked_v01,FC_BLOCKED,C2_D8,64,0,5,True,5,0
scene_fc_blocked_v02,FC_BLOCKED,C2_D8,53,2,3,False,3,0
scene_fc_blocked_v03,FC_BLOCKED,C2_D8,12,5,0,True,0,0
scene_fc_blocked_v04,FC_BLOCKED,C2_D8,89,0,5,True,5,0
scene_fc_blocked_v05,FC_BLOCKED,C2_D8,59,0,5,True,5,0
scene_fc_clear_v01,FC_CLEAR,C2_D8,53,5,0,True,0,0
scene_fc_clear_v02,FC_CLEAR,C2_D8,29,5,0,True,0,0
scene_fc_clear_v03,FC_CLEAR,C2_D8,95,5,0,True,0,0
scene_fc_clear_v04,FC_CLEAR,C2_D8,61,5,0,True,0,0
scene_fc_clear_v05,FC_CLEAR,C2_D8,62,4,1,False,1,0
scene_lift_and_relocate_v01,LIFT_AND_RELOCATE,C2_D8,59,0,5,True,5,0
scene_lift_and_relocate_v02,LIFT_AND_RELOCATE,C2_D8,70,0,5,True,5,0
scene_lift_and_relocate_v03,LIFT_AND_RELOCATE,C2_D8,12,0,5,True,5,0
scene_lift_and_relocate_v04,LIFT_AND_RELOCATE,C2_D8,68,0,5,True,5,0
scene_lift_and_relocate_v05,LIFT_AND_RELOCATE,C2_D8,43,0,5,True,5,0
scene_rotate_v01,ROTATE,C2_D8,12,0,5,True,5,0
scene_rotate_v02,ROTATE,C2_D8,38,0,5,True,5,0
scene_rotate_v03,ROTATE,C2_D8,83,0,5,True,5,0
scene_rotate_v04,ROTATE,C2_D8,47,0,5,True,5,0
scene_rotate_v05,ROTATE,C2_D8,44,0,5,True,5,0
scene_translate_v01,TRANSLATE,C2_D8,67,0,5,True,5,0
scene_translate_v02,TRANSLATE,C2_D8,45,0,5,True,5,0
scene_translate_v03,TRANSLATE,C2_D8,18,0,5,True,5,0
scene_translate_v04,TRANSLATE,C2_D8,13,0,5,True,5,0
scene_translate_v05,TRANSLATE,C2_D8,54,0,5,True,5,0
