run_id,scene_id,family,seed,target_object_id,gt_reason,valid_blocker_ids,predicted_reason,predicted_blocker_id,reason_correct,blocker_correct,joint_correct
v19__scene_fc_clear_v05__L3__C2_D4__r01_s28101,scene_fc_clear_v05,FC_CLEAR,28101,62,CLEARANCE_OVERLAP,[82],CLEARANCE_OVERLAP,82,True,True,True
v19__scene_rotate_v03__L3__C2_D4__r04_s28104,scene_rotate_v03,ROTATE,28104,83,OCCLUSION,[19],BOTH,19,False,True,False
v19__scene_fc_clear_v05__L3__C2_D4__r02_s28102,scene_fc_clear_v05,FC_CLEAR,28102,62,CLEARANCE_OVERLAP,[82],CLEARANCE_OVERLAP,82,True,True,True
v19__scene_lift_and_relocate_v02__L3__C2_D4__r03_s28103,scene_lift_and_relocate_v02,LIFT_AND_RELOCATE,28103,70,BOTH,[14],CLEARANCE_OVERLAP,14,False,True,False
v19__scene_translate_v04__L3__C2_D4__r02_s28102,scene_translate_v04,TRANSLATE,28102,13,OCCLUSION,[84],BOTH,84,False,True,False
v19__scene_lift_and_relocate_v04__L3__C2_D4__r04_s28104,scene_lift_and_relocate_v04,LIFT_AND_RELOCATE,28104,68,BOTH,[73],BOTH,73,True,True,True
v19__scene_lift_and_relocate_v01__L3__C2_D4__r02_s28102,scene_lift_and_relocate_v01,LIFT_AND_RELOCATE,28102,59,BOTH,[64],BOTH,64,True,True,True
v19__scene_translate_v02__L3__C2_D4__r02_s28102,scene_translate_v02,TRANSLATE,28102,45,BOTH,[95],BOTH,95,True,True,True
v19__scene_lift_and_relocate_v05__L3__C2_D4__r04_s28104,scene_lift_and_relocate_v05,LIFT_AND_RELOCATE,28104,43,BOTH,[15],BOTH,15,True,True,True
v19__scene_lift_and_relocate_v03__L3__C2_D4__r04_s28104,scene_lift_and_relocate_v03,LIFT_AND_RELOCATE,28104,12,BOTH,[35],BOTH,35,True,True,True
v19__scene_fc_blocked_v03__L3__C2_D4__r02_s28102,scene_fc_blocked_v03,FC_BLOCKED,28102,12,CLEARANCE_OVERLAP,[33],CLEARANCE_OVERLAP,33,True,True,True
v19__scene_fc_blocked_v01__L3__C2_D4__r05_s28105,scene_fc_blocked_v01,FC_BLOCKED,28105,64,CLEARANCE_OVERLAP,[40],CLEARANCE_OVERLAP,40,True,True,True
v19__scene_rotate_v05__L3__C2_D4__r02_s28102,scene_rotate_v05,ROTATE,28102,44,OCCLUSION,[82],BOTH,82,False,True,False
v19__scene_translate_v03__L3__C2_D4__r02_s28102,scene_translate_v03,TRANSLATE,28102,18,OCCLUSION,[45],BOTH,45,False,True,False
