level,scene_id,query_id,user_request,successes_out_of_5,ground_truth,unique_predictions,error_types
L3,b0_l3_random_5objects_01,Q1_CATEGORY_PRESENT,Bring me a can.,5,[34],[[34]],"{""correct"": 5}"
L3,b0_l3_random_5objects_01,Q2_CATEGORY_COLOR_PRESENT,Bring me the yellow can.,5,[34],[[34]],"{""correct"": 5}"
L3,b0_l3_random_5objects_01,Q3_HARD_NEGATIVE_ABSENT,Bring me the black can.,5,[],[[]],"{""correct"": 5}"
L3,b0_l3_random_5objects_02,Q1_CATEGORY_PRESENT,Bring me a can.,5,"[15, 34]","[[15, 34]]","{""correct"": 5}"
L3,b0_l3_random_5objects_02,Q2_CATEGORY_COLOR_PRESENT,Bring me the beige can.,0,"[15, 34]",[[]],"{""gt_target_set_disagreement_with_semantic_inventory_exact"": 1, ""truth_table_violation"": 4}"
L3,b0_l3_random_5objects_02,Q3_HARD_NEGATIVE_ABSENT,Bring me the white can.,5,[],[[]],"{""correct"": 5}"
L3,b0_l3_random_5objects_03,Q1_CATEGORY_PRESENT,Bring me a can.,5,"[14, 23]","[[14, 23]]","{""correct"": 5}"
L3,b0_l3_random_5objects_03,Q2_CATEGORY_COLOR_PRESENT,Bring me the beige can.,0,"[14, 23]",[[]],"{""gt_target_set_disagreement_with_semantic_inventory_exact"": 5}"
L3,b0_l3_random_5objects_03,Q3_HARD_NEGATIVE_ABSENT,Bring me the dark green can.,5,[],[[]],"{""correct"": 5}"
L3,b0_l3_random_5objects_04,Q1_CATEGORY_PRESENT,Bring me a can.,5,"[53, 96]","[[53, 96]]","{""correct"": 5}"
L3,b0_l3_random_5objects_04,Q2_CATEGORY_COLOR_PRESENT,Bring me the beige can.,0,"[53, 96]",[[96]],"{""gt_target_set_disagreement_with_semantic_inventory_exact"": 5}"
L3,b0_l3_random_5objects_04,Q3_HARD_NEGATIVE_ABSENT,Bring me the blue can.,5,[],[[]],"{""correct"": 5}"
L3,b0_l3_random_5objects_05,Q1_CATEGORY_PRESENT,Bring me a can.,5,"[65, 79]","[[65, 79]]","{""correct"": 5}"
L3,b0_l3_random_5objects_05,Q2_CATEGORY_COLOR_PRESENT,Bring me the yellow can.,5,"[65, 79]","[[65, 79]]","{""correct"": 5}"
