scene_id,condition_key,target_object_id,scene_family,reason_correct,blocker_correct,joint_correct
scene_fc_blocked_v01,C0,64,FC_BLOCKED,5,5,5
scene_fc_blocked_v02,C0,53,FC_BLOCKED,5,5,5
scene_fc_blocked_v03,C0,12,FC_BLOCKED,5,5,5
scene_fc_blocked_v04,C0,89,FC_BLOCKED,5,5,5
scene_fc_blocked_v05,C0,59,FC_BLOCKED,0,5,0
scene_fc_clear_v01,C0,53,FC_CLEAR,5,5,5
scene_fc_clear_v02,C0,29,FC_CLEAR,5,5,5
scene_fc_clear_v03,C0,95,FC_CLEAR,5,5,5
scene_fc_clear_v04,C0,61,FC_CLEAR,5,5,5
scene_fc_clear_v05,C0,62,FC_CLEAR,0,0,0
scene_lift_and_relocate_v01,C0,59,LIFT_AND_RELOCATE,0,5,0
scene_lift_and_relocate_v02,C0,70,LIFT_AND_RELOCATE,0,0,0
scene_lift_and_relocate_v03,C0,12,LIFT_AND_RELOCATE,0,5,0
scene_lift_and_relocate_v04,C0,68,LIFT_AND_RELOCATE,0,5,0
scene_lift_and_relocate_v05,C0,43,LIFT_AND_RELOCATE,0,5,0
scene_rotate_v01,C0,12,ROTATE,5,0,0
scene_rotate_v02,C0,38,ROTATE,5,5,5
scene_rotate_v03,C0,83,ROTATE,5,0,0
scene_rotate_v04,C0,47,ROTATE,5,5,5
scene_rotate_v05,C0,44,ROTATE,5,5,5
scene_translate_v01,C0,67,TRANSLATE,0,5,0
scene_translate_v02,C0,45,TRANSLATE,0,5,0
scene_translate_v03,C0,18,TRANSLATE,5,5,5
scene_translate_v04,C0,13,TRANSLATE,5,5,5
scene_translate_v05,C0,54,TRANSLATE,0,5,0
scene_fc_blocked_v01,C1,64,FC_BLOCKED,5,5,5
scene_fc_blocked_v02,C1,53,FC_BLOCKED,5,5,5
scene_fc_blocked_v03,C1,12,FC_BLOCKED,5,5,5
scene_fc_blocked_v04,C1,89,FC_BLOCKED,5,5,5
scene_fc_blocked_v05,C1,59,FC_BLOCKED,0,5,0
scene_fc_clear_v01,C1,53,FC_CLEAR,0,0,0
scene_fc_clear_v02,C1,29,FC_CLEAR,0,0,0
scene_fc_clear_v03,C1,95,FC_CLEAR,0,0,0
scene_fc_clear_v04,C1,61,FC_CLEAR,0,0,0
scene_fc_clear_v05,C1,62,FC_CLEAR,5,5,5
scene_lift_and_relocate_v01,C1,59,LIFT_AND_RELOCATE,0,5,0
scene_lift_and_relocate_v02,C1,70,LIFT_AND_RELOCATE,0,5,0
scene_lift_and_relocate_v03,C1,12,LIFT_AND_RELOCATE,0,5,0
scene_lift_and_relocate_v04,C1,68,LIFT_AND_RELOCATE,0,0,0
scene_lift_and_relocate_v05,C1,43,LIFT_AND_RELOCATE,0,5,0
scene_rotate_v01,C1,12,ROTATE,0,0,0
scene_rotate_v02,C1,38,ROTATE,5,5,5
scene_rotate_v03,C1,83,ROTATE,5,0,0
scene_rotate_v04,C1,47,ROTATE,0,0,0
