scene_id,scene_family,target_id,object_id,candidate_occlusion_pixels,candidate_occlusion_ratio,truth_relation,run_count,predicted_interference_count,predicted_interference_rate,accuracy,numbered_rgb
scene_fc_blocked_v01,FC_BLOCKED,64,40,0,0.0,DOES_NOT_INTERFERE,60,60,1.0,0.0,images/numbered_rgb/scene_fc_blocked_v01.png
scene_fc_blocked_v01,FC_BLOCKED,64,46,0,0.0,DOES_NOT_INTERFERE,60,0,0.0,1.0,images/numbered_rgb/scene_fc_blocked_v01.png
scene_fc_blocked_v01,FC_BLOCKED,64,59,0,0.0,DOES_NOT_INTERFERE,60,0,0.0,1.0,images/numbered_rgb/scene_fc_blocked_v01.png
scene_fc_blocked_v02,FC_BLOCKED,53,49,0,0.0,DOES_NOT_INTERFERE,60,60,1.0,0.0,images/numbered_rgb/scene_fc_blocked_v02.png
scene_fc_blocked_v02,FC_BLOCKED,53,60,0,0.0,DOES_NOT_INTERFERE,60,0,0.0,1.0,images/numbered_rgb/scene_fc_blocked_v02.png
scene_fc_blocked_v02,FC_BLOCKED,53,78,0,0.0,DOES_NOT_INTERFERE,60,0,0.0,1.0,images/numbered_rgb/scene_fc_blocked_v02.png
scene_fc_blocked_v03,FC_BLOCKED,12,30,0,0.0,DOES_NOT_INTERFERE,60,0,0.0,1.0,images/numbered_rgb/scene_fc_blocked_v03.png
scene_fc_blocked_v03,FC_BLOCKED,12,33,0,0.0,DOES_NOT_INTERFERE,60,37,0.6166666666666667,0.38333333333333336,images/numbered_rgb/scene_fc_blocked_v03.png
scene_fc_blocked_v03,FC_BLOCKED,12,68,0,0.0,DOES_NOT_INTERFERE,60,0,0.0,1.0,images/numbered_rgb/scene_fc_blocked_v03.png
scene_fc_blocked_v04,FC_BLOCKED,89,19,0,0.0,DOES_NOT_INTERFERE,60,60,1.0,0.0,images/numbered_rgb/scene_fc_blocked_v04.png
scene_fc_blocked_v04,FC_BLOCKED,89,44,0,0.0,DOES_NOT_INTERFERE,60,52,0.8666666666666667,0.13333333333333333,images/numbered_rgb/scene_fc_blocked_v04.png
scene_fc_blocked_v04,FC_BLOCKED,89,77,0,0.0,DOES_NOT_INTERFERE,60,4,0.06666666666666667,0.9333333333333333,images/numbered_rgb/scene_fc_blocked_v04.png
scene_fc_blocked_v05,FC_BLOCKED,59,26,48,0.004170287,DOES_NOT_INTERFERE,60,60,1.0,0.0,images/numbered_rgb/scene_fc_blocked_v05.png
scene_fc_blocked_v05,FC_BLOCKED,59,69,0,0.0,DOES_NOT_INTERFERE,60,0,0.0,1.0,images/numbered_rgb/scene_fc_blocked_v05.png
scene_fc_blocked_v05,FC_BLOCKED,59,92,0,0.0,DOES_NOT_INTERFERE,60,0,0.0,1.0,images/numbered_rgb/scene_fc_blocked_v05.png
scene_fc_clear_v01,FC_CLEAR,53,59,0,0.0,DOES_NOT_INTERFERE,60,13,0.21666666666666667,0.7833333333333333,images/numbered_rgb/scene_fc_clear_v01.png
scene_fc_clear_v01,FC_CLEAR,53,62,0,0.0,DOES_NOT_INTERFERE,60,0,0.0,1.0,images/numbered_rgb/scene_fc_clear_v01.png
scene_fc_clear_v01,FC_CLEAR,53,98,0,0.0,DOES_NOT_INTERFERE,60,13,0.21666666666666667,0.7833333333333333,images/numbered_rgb/scene_fc_clear_v01.png
scene_fc_clear_v02,FC_CLEAR,29,10,0,0.0,DOES_NOT_INTERFERE,60,20,0.3333333333333333,0.6666666666666666,images/numbered_rgb/scene_fc_clear_v02.png
scene_fc_clear_v02,FC_CLEAR,29,39,0,0.0,DOES_NOT_INTERFERE,60,5,0.08333333333333333,0.9166666666666666,images/numbered_rgb/scene_fc_clear_v02.png
scene_fc_clear_v02,FC_CLEAR,29,66,0,0.0,DOES_NOT_INTERFERE,60,5,0.08333333333333333,0.9166666666666666,images/numbered_rgb/scene_fc_clear_v02.png
scene_fc_clear_v03,FC_CLEAR,95,20,0,0.0,DOES_NOT_INTERFERE,60,14,0.23333333333333334,0.7666666666666667,images/numbered_rgb/scene_fc_clear_v03.png
scene_fc_clear_v03,FC_CLEAR,95,22,0,0.0,DOES_NOT_INTERFERE,60,10,0.16666666666666666,0.8333333333333334,images/numbered_rgb/scene_fc_clear_v03.png
scene_fc_clear_v03,FC_CLEAR,95,51,0,0.0,DOES_NOT_INTERFERE,60,10,0.16666666666666666,0.8333333333333334,images/numbered_rgb/scene_fc_clear_v03.png
scene_fc_clear_v04,FC_CLEAR,61,13,0,0.0,DOES_NOT_INTERFERE,60,40,0.6666666666666666,0.3333333333333333,images/numbered_rgb/scene_fc_clear_v04.png
scene_fc_clear_v04,FC_CLEAR,61,38,0,0.0,DOES_NOT_INTERFERE,60,40,0.6666666666666666,0.3333333333333333,images/numbered_rgb/scene_fc_clear_v04.png
scene_fc_clear_v04,FC_CLEAR,61,59,0,0.0,DOES_NOT_INTERFERE,60,29,0.48333333333333334,0.5166666666666667,images/numbered_rgb/scene_fc_clear_v04.png
