run_id,scene_id,scene_family,seed,target_id,gt_blocker_ids,l3_output,gt_action_advisory,gt_parameters_advisory,model_output,primary_class,action_match,object_match_scene_gt,object_match_frozen_l3,direction_match,distance_match,post_validation_pass,post_validation_errors,simulator_executed,collision,boundary_violation,post_visibility,post_gap_cm,post_direct_graspable
v25__scene_fc_clear_v05__L4__C2_D8__r03_s28103,scene_fc_clear_v05,FC_CLEAR,28103,62,[82],"{""blocker_id"": 82, ""blocking_reason"": ""CLEARANCE_OVERLAP""}",RETRIEVE,"{""object"": ""target_teal""}","{""action"": ""TRANSLATE"", ""direction"": ""LEFT"", ""distance_cm"": 3, ""distance_level"": ""SHORT"", ""object_id"": 82}",ACTION_WRONG,False,False,True,,,True,[],True,False,False,FULL,1.075463,False
v25__scene_fc_blocked_v01__L4__C2_D8__r01_s28101,scene_fc_blocked_v01,FC_BLOCKED,28101,64,[40],"{""blocker_id"": 40, ""blocking_reason"": ""CLEARANCE_OVERLAP""}",TRANSLATE,"{""object"": ""cantata"", ""frame"": ""SHELF"", ""direction"": ""RIGHT"", ""minimum_distance_cm"": 1.8}","{""action"": ""TRANSLATE"", ""direction"": ""RIGHT"", ""distance_cm"": 1, ""distance_level"": ""SHORT"", ""object_id"": 40}",DISTANCE_WRONG,True,True,True,True,False,True,[],True,False,False,FULL,1.430782,False
v25__scene_fc_blocked_v01__L4__C2_D8__r02_s28102,scene_fc_blocked_v01,FC_BLOCKED,28102,64,[40],"{""blocker_id"": 40, ""blocking_reason"": ""CLEARANCE_OVERLAP""}",TRANSLATE,"{""object"": ""cantata"", ""frame"": ""SHELF"", ""direction"": ""RIGHT"", ""minimum_distance_cm"": 1.8}","{""action"": ""TRANSLATE"", ""direction"": ""RIGHT"", ""distance_cm"": 1, ""distance_level"": ""SHORT"", ""object_id"": 40}",DISTANCE_WRONG,True,True,True,True,False,True,[],True,False,False,FULL,1.430782,False
v25__scene_fc_blocked_v01__L4__C2_D8__r03_s28103,scene_fc_blocked_v01,FC_BLOCKED,28103,64,[40],"{""blocker_id"": 40, ""blocking_reason"": ""CLEARANCE_OVERLAP""}",TRANSLATE,"{""object"": ""cantata"", ""frame"": ""SHELF"", ""direction"": ""RIGHT"", ""minimum_distance_cm"": 1.8}","{""action"": ""TRANSLATE"", ""direction"": ""RIGHT"", ""distance_cm"": 1, ""distance_level"": ""SHORT"", ""object_id"": 40}",DISTANCE_WRONG,True,True,True,True,False,True,[],True,False,False,FULL,1.430782,False
v25__scene_fc_blocked_v01__L4__C2_D8__r04_s28104,scene_fc_blocked_v01,FC_BLOCKED,28104,64,[40],"{""blocker_id"": 40, ""blocking_reason"": ""CLEARANCE_OVERLAP""}",TRANSLATE,"{""object"": ""cantata"", ""frame"": ""SHELF"", ""direction"": ""RIGHT"", ""minimum_distance_cm"": 1.8}","{""action"": ""TRANSLATE"", ""direction"": ""RIGHT"", ""distance_cm"": 2, ""distance_level"": ""SHORT"", ""object_id"": 40}",PHYSICAL_FAILURE_AFTER_GT_MATCH,True,True,True,True,True,True,[],True,False,False,FULL,2.430497,False
v25__scene_fc_blocked_v01__L4__C2_D8__r05_s28105,scene_fc_blocked_v01,FC_BLOCKED,28105,64,[40],"{""blocker_id"": 40, ""blocking_reason"": ""CLEARANCE_OVERLAP""}",TRANSLATE,"{""object"": ""cantata"", ""frame"": ""SHELF"", ""direction"": ""RIGHT"", ""minimum_distance_cm"": 1.8}","{""action"": ""TRANSLATE"", ""direction"": ""RIGHT"", ""distance_cm"": 2, ""distance_level"": ""SHORT"", ""object_id"": 40}",PHYSICAL_FAILURE_AFTER_GT_MATCH,True,True,True,True,True,True,[],True,False,False,FULL,2.430497,False
v25__scene_fc_blocked_v02__L4__C2_D8__r02_s28102,scene_fc_blocked_v02,FC_BLOCKED,28102,53,[49],"{""blocker_id"": 49, ""blocking_reason"": ""BOTH""}",TRANSLATE,"{""object"": ""coldgrape"", ""frame"": ""SHELF"", ""direction"": ""LEFT"", ""minimum_distance_cm"": 1.7}","{""action"": ""TRANSLATE"", ""direction"": ""LEFT"", ""distance_cm"": 2, ""distance_level"": ""SHORT"", ""object_id"": 49}",PHYSICAL_FAILURE_AFTER_GT_MATCH,True,True,True,True,True,True,[],True,False,False,FULL,4.349656,False
v25__scene_fc_blocked_v02__L4__C2_D8__r04_s28104,scene_fc_blocked_v02,FC_BLOCKED,28104,53,[49],"{""blocker_id"": 49, ""blocking_reason"": ""BOTH""}",TRANSLATE,"{""object"": ""coldgrape"", ""frame"": ""SHELF"", ""direction"": ""LEFT"", ""minimum_distance_cm"": 1.7}","{""action"": ""TRANSLATE"", ""direction"": ""LEFT"", ""distance_cm"": 2, ""distance_level"": ""SHORT"", ""object_id"": 49}",PHYSICAL_FAILURE_AFTER_GT_MATCH,True,True,True,True,True,True,[],True,False,False,FULL,4.349656,False
v25__scene_fc_blocked_v03__L4__C2_D8__r02_s28102,scene_fc_blocked_v03,FC_BLOCKED,28102,12,[33],"{""blocker_id"": 33, ""blocking_reason"": ""CLEARANCE_OVERLAP""}",TRANSLATE,"{""object"": ""Cup_4"", ""frame"": ""SHELF"", ""direction"": ""RIGHT"", ""minimum_distance_cm"": 1.9}","{""action"": ""TRANSLATE"", ""direction"": ""RIGHT"", ""distance_cm"": 2, ""distance_level"": ""SHORT"", ""object_id"": 33}",PHYSICAL_FAILURE_AFTER_GT_MATCH,True,True,True,True,True,True,[],True,False,False,FULL,2.300105,False
v25__scene_fc_blocked_v03__L4__C2_D8__r03_s28103,scene_fc_blocked_v03,FC_BLOCKED,28103,12,[33],"{""blocker_id"": 33, ""blocking_reason"": ""CLEARANCE_OVERLAP""}",TRANSLATE,"{""object"": ""Cup_4"", ""frame"": ""SHELF"", ""direction"": ""RIGHT"", ""minimum_distance_cm"": 1.9}","{""action"": ""TRANSLATE"", ""direction"": ""RIGHT"", ""distance_cm"": 2, ""distance_level"": ""SHORT"", ""object_id"": 33}",PHYSICAL_FAILURE_AFTER_GT_MATCH,True,True,True,True,True,True,[],True,False,False,FULL,2.300105,False
v25__scene_fc_blocked_v03__L4__C2_D8__r04_s28104,scene_fc_blocked_v03,FC_BLOCKED,28104,12,[33],"{""blocker_id"": 33, ""blocking_reason"": ""CLEARANCE_OVERLAP""}",TRANSLATE,"{""object"": ""Cup_4"", ""frame"": ""SHELF"", ""direction"": ""RIGHT"", ""minimum_distance_cm"": 1.9}","{""action"": ""TRANSLATE"", ""direction"": ""RIGHT"", ""distance_cm"": 2, ""distance_level"": ""SHORT"", ""object_id"": 33}",PHYSICAL_FAILURE_AFTER_GT_MATCH,True,True,True,True,True,True,[],True,False,False,FULL,2.300105,False
v25__scene_fc_blocked_v04__L4__C2_D8__r01_s28101,scene_fc_blocked_v04,FC_BLOCKED,28101,89,[19],"{""blocker_id"": 19, ""blocking_reason"": ""CLEARANCE_OVERLAP""}",TRANSLATE,"{""object"": ""Mug_2"", ""frame"": ""SHELF"", ""direction"": ""LEFT"", ""minimum_distance_cm"": 1.6}","{""action"": ""TRANSLATE"", ""direction"": ""LEFT"", ""distance_cm"": 2, ""distance_level"": ""SHORT"", ""object_id"": 19}",PHYSICAL_FAILURE_AFTER_GT_MATCH,True,True,True,True,True,True,[],True,False,False,FULL,2.6,False
