run_id,scene_id,scene_family,geometry_condition,direction_resolution,seed,target_id,l3_reason,l3_blocker_id,l3_joint_correct,l3_blocker_correct,advisory_action,predicted_action,advisory_match,post_validation_pass,raw_response
v26__scene_fc_blocked_v01__L4__C0_D4__r01_s28101,scene_fc_blocked_v01,FC_BLOCKED,C0,D4,28101,64,CLEARANCE_OVERLAP,40,True,True,TRANSLATE,TRANSLATE,True,True,"{""action"": ""TRANSLATE""}"
v26__scene_fc_blocked_v01__L4__C0_D4__r02_s28102,scene_fc_blocked_v01,FC_BLOCKED,C0,D4,28102,64,CLEARANCE_OVERLAP,40,True,True,TRANSLATE,TRANSLATE,True,True,"{""action"": ""TRANSLATE""}"
v26__scene_fc_blocked_v01__L4__C0_D4__r03_s28103,scene_fc_blocked_v01,FC_BLOCKED,C0,D4,28103,64,CLEARANCE_OVERLAP,40,True,True,TRANSLATE,TRANSLATE,True,True,"{""action"": ""TRANSLATE""}"
v26__scene_fc_blocked_v01__L4__C0_D4__r04_s28104,scene_fc_blocked_v01,FC_BLOCKED,C0,D4,28104,64,CLEARANCE_OVERLAP,40,True,True,TRANSLATE,TRANSLATE,True,True,"{""action"": ""TRANSLATE""}"
v26__scene_fc_blocked_v01__L4__C0_D4__r05_s28105,scene_fc_blocked_v01,FC_BLOCKED,C0,D4,28105,64,CLEARANCE_OVERLAP,40,True,True,TRANSLATE,TRANSLATE,True,True,"{""action"": ""TRANSLATE""}"
v26__scene_fc_blocked_v02__L4__C0_D4__r01_s28101,scene_fc_blocked_v02,FC_BLOCKED,C0,D4,28101,53,CLEARANCE_OVERLAP,49,True,True,TRANSLATE,LIFT_AND_RELOCATE,False,True,"{""action"": ""LIFT_AND_RELOCATE""}"
v26__scene_fc_blocked_v02__L4__C0_D4__r02_s28102,scene_fc_blocked_v02,FC_BLOCKED,C0,D4,28102,53,CLEARANCE_OVERLAP,49,True,True,TRANSLATE,LIFT_AND_RELOCATE,False,True,"{""action"": ""LIFT_AND_RELOCATE""}"
v26__scene_fc_blocked_v02__L4__C0_D4__r03_s28103,scene_fc_blocked_v02,FC_BLOCKED,C0,D4,28103,53,CLEARANCE_OVERLAP,49,True,True,TRANSLATE,LIFT_AND_RELOCATE,False,True,"{""action"": ""LIFT_AND_RELOCATE""}"
v26__scene_fc_blocked_v02__L4__C0_D4__r04_s28104,scene_fc_blocked_v02,FC_BLOCKED,C0,D4,28104,53,CLEARANCE_OVERLAP,49,True,True,TRANSLATE,LIFT_AND_RELOCATE,False,True,"{""action"": ""LIFT_AND_RELOCATE""}"
v26__scene_fc_blocked_v02__L4__C0_D4__r05_s28105,scene_fc_blocked_v02,FC_BLOCKED,C0,D4,28105,53,CLEARANCE_OVERLAP,49,True,True,TRANSLATE,LIFT_AND_RELOCATE,False,True,"{""action"": ""LIFT_AND_RELOCATE""}"
