condition_id,temperature,enumeration,output_format,run_id,level,scene_id,seed,error_type,visible_missing_ids,visible_extra_ids,instance_missing_ids,instance_extra_ids,cross_field_consistency_exact,bad_instances,raw_response
T03_DIRECT_TEXT,0.3,False,TEXT,T03_DIRECT_TEXT__b0_l3_random_7objects_05__r01_s28101,L3,b0_l3_random_7objects_05,28101,object_error_only,[],[],[],[],,"[{""asset_id"": ""mug_7"", ""color_correct"": true, ""color_reference"": ""orange-brown"", ""color_strict_correct"": true, ""id"": 59, ""joint_correct"": false, ""joint_strict_correct"": false, ""object_correct"": false, ""object_family"": ""cup_or_mug"", ""object_reference"": ""mug"", ""predicted_color"": ""brown"", ""predicted_object_type"": ""can""}]",84 | can | brown\n59 | can | brown\n93 | can | brown\n61 | bottle | green\n54 | bottle | green\n86 | can | brown\n14 | mug | brown
T05_DIRECT_TEXT,0.5,False,TEXT,T05_DIRECT_TEXT__b0_l3_random_7objects_05__r01_s28101,L3,b0_l3_random_7objects_05,28101,object_error_only,[],[],[],[],,"[{""asset_id"": ""mug_7"", ""color_correct"": true, ""color_reference"": ""orange-brown"", ""color_strict_correct"": true, ""id"": 59, ""joint_correct"": false, ""joint_strict_correct"": false, ""object_correct"": false, ""object_family"": ""cup_or_mug"", ""object_reference"": ""mug"", ""predicted_color"": ""brown"", ""predicted_object_type"": ""can""}]",84 | can | brown\n59 | can | brown\n93 | can | brown\n61 | bottle | green\n54 | bottle | green\n86 | can | brown\n14 | mug | brown
T07_DIRECT_TEXT,0.7,False,TEXT,T07_DIRECT_TEXT__b0_l3_random_7objects_05__r01_s28101,L3,b0_l3_random_7objects_05,28101,object_error_only,[],[],[],[],,"[{""asset_id"": ""mug_7"", ""color_correct"": true, ""color_reference"": ""orange-brown"", ""color_strict_correct"": true, ""id"": 59, ""joint_correct"": false, ""joint_strict_correct"": false, ""object_correct"": false, ""object_family"": ""cup_or_mug"", ""object_reference"": ""mug"", ""predicted_color"": ""brown"", ""predicted_object_type"": ""can""}]",84 | can | brown\n59 | can | brown\n93 | can | brown\n61 | bottle | green\n54 | bottle | green\n86 | can | brown\n14 | mug | brown
T07_ENUM_TEXT,0.7,True,TEXT,T07_ENUM_TEXT__b0_l3_random_7objects_05__r01_s28101,L3,b0_l3_random_7objects_05,28101,object_error_only,[],[],[],[],True,"[{""asset_id"": ""mug_7"", ""color_correct"": true, ""color_reference"": ""orange-brown"", ""color_strict_correct"": true, ""id"": 59, ""joint_correct"": false, ""joint_strict_correct"": false, ""object_correct"": false, ""object_family"": ""cup_or_mug"", ""object_reference"": ""mug"", ""predicted_color"": ""brown"", ""predicted_object_type"": ""can""}]","visible_ids: [84, 59, 93, 61, 54, 86, 14]\n\n84 | can | brown\n59 | can | brown\n93 | can | brown\n61 | bottle | green\n54 | bottle | green\n86 | can | brown\n14 | mug | brown"
T05_DIRECT_TEXT,0.5,False,TEXT,T05_DIRECT_TEXT__b0_l4_random_30_45_05__r01_s28101,L4,b0_l4_random_30_45_05,28101,object_error_only,[],[],[],[],,"[{""asset_id"": ""cantata"", ""color_correct"": true, ""color_reference"": ""beige-brown"", ""color_strict_correct"": true, ""id"": 66, ""joint_correct"": false, ""joint_strict_correct"": false, ""object_correct"": false, ""object_family"": ""can"", ""object_reference"": ""beverage can"", ""predicted_color"": ""brown"", ""predicted_object_type"": ""cup""}]",28 | cup | purple\n31 | cup | black\n85 | cup | yellow\n73 | cup | white\n66 | cup | brown\n78 | bottle | green\n11 | cup | blue\n56 | bottle | blue
T07_DIRECT_TEXT,0.7,False,TEXT,T07_DIRECT_TEXT__b0_l4_random_30_45_05__r01_s28101,L4,b0_l4_random_30_45_05,28101,object_error_only,[],[],[],[],,"[{""asset_id"": ""cantata"", ""color_correct"": true, ""color_reference"": ""beige-brown"", ""color_strict_correct"": true, ""id"": 66, ""joint_correct"": false, ""joint_strict_correct"": false, ""object_correct"": false, ""object_family"": ""can"", ""object_reference"": ""beverage can"", ""predicted_color"": ""brown"", ""predicted_object_type"": ""cup""}]",28 | cup | purple\n31 | cup | black\n85 | cup | yellow\n73 | cup | white\n66 | cup | brown\n78 | bottle | green\n11 | cup | blue\n56 | bottle | blue
T07_ENUM_TEXT,0.7,True,TEXT,T07_ENUM_TEXT__b0_l4_random_30_45_05__r01_s28101,L4,b0_l4_random_30_45_05,28101,object_error_only,[],[],[],[],True,"[{""asset_id"": ""cantata"", ""color_correct"": true, ""color_reference"": ""beige-brown"", ""color_strict_correct"": true, ""id"": 66, ""joint_correct"": false, ""joint_strict_correct"": false, ""object_correct"": false, ""object_family"": ""can"", ""object_reference"": ""beverage can"", ""predicted_color"": ""brown"", ""predicted_object_type"": ""cup""}]","visible_ids: [28, 31, 85, 73, 66, 78, 11, 56]\n\n28 | cup | purple\n31 | cup | black\n85 | cup | yellow\n73 | cup | white\n66 | cup | brown\n78 | bottle | green\n11 | cup | blue\n56 | bottle | blue"
T03_DIRECT_TEXT,0.3,False,TEXT,T03_DIRECT_TEXT__b0_l5_random_45_60_04__r01_s28101,L5,b0_l5_random_45_60_04,28101,object_error_only,[],[],[],[],,"[{""asset_id"": ""mug_7"", ""color_correct"": true, ""color_reference"": ""orange-brown"", ""color_strict_correct"": true, ""id"": 85, ""joint_correct"": false, ""joint_strict_correct"": false, ""object_correct"": false, ""object_family"": ""cup_or_mug"", ""object_reference"": ""mug"", ""predicted_color"": ""brown"", ""predicted_object_type"": ""container""}]",73 | mug | black\n19 | bottle | green\n56 | can | brown\n85 | container | brown\n12 | bottle | blue\n68 | cup | blue\n28 | can | yellow\n53 | bottle | purple\n71 | cup | white
T03_ENUM_TEXT,0.3,True,TEXT,T03_ENUM_TEXT__b0_l5_random_45_60_04__r01_s28101,L5,b0_l5_random_45_60_04,28101,object_error_only,[],[],[],[],True,"[{""asset_id"": ""mug_7"", ""color_correct"": true, ""color_reference"": ""orange-brown"", ""color_strict_correct"": true, ""id"": 85, ""joint_correct"": false, ""joint_strict_correct"": false, ""object_correct"": false, ""object_family"": ""cup_or_mug"", ""object_reference"": ""mug"", ""predicted_color"": ""brown"", ""predicted_object_type"": ""container""}]","visible_ids: [73, 19, 56, 85, 12, 68, 28, 53, 71]\n\n73 | mug | black\n19 | bottle | green\n56 | can | brown\n85 | container | brown\n12 | bottle | blue\n68 | cup | blue\n28 | can | yellow\n53 | bottle | purple\n71 | cup | white"
T05_ENUM_TEXT,0.5,True,TEXT,T05_ENUM_TEXT__b0_l5_random_45_60_04__r01_s28101,L5,b0_l5_random_45_60_04,28101,object_error_only,[],[],[],[],True,"[{""asset_id"": ""mug_7"", ""color_correct"": true, ""color_reference"": ""orange-brown"", ""color_strict_correct"": true, ""id"": 85, ""joint_correct"": false, ""joint_strict_correct"": false, ""object_correct"": false, ""object_family"": ""cup_or_mug"", ""object_reference"": ""mug"", ""predicted_color"": ""brown"", ""predicted_object_type"": ""container""}]","visible_ids: [73, 19, 56, 85, 12, 68, 28, 53, 71]\n\n73 | mug | black\n19 | bottle | green\n56 | can | brown\n85 | container | brown\n12 | bottle | blue\n68 | cup | blue\n28 | can | yellow\n53 | bottle | purple\n71 | cup | white"
