run_id,scene_id,scene_family,condition,resolution,seed,target_id,visible_object_ids_left_to_right,candidate_count,correct_candidate_count,expected_occluder_ids,predicted_occluder_ids,visible_order_correct,target_id_correct,full_output_exact_match,occluder_set_exact_match,truth_any_occlusion,predicted_any_occlusion,any_occlusion_correct
v1__scene_fc_blocked_v01__L2__C0_NA__r01_s28101,scene_fc_blocked_v01,FC_BLOCKED,C0,,28101,64,"[46, 64, 40, 59]",3,3,[],[],True,True,True,True,False,False,True
v1__scene_fc_blocked_v01__L2__C0_NA__r02_s28102,scene_fc_blocked_v01,FC_BLOCKED,C0,,28102,64,"[46, 64, 40, 59]",3,3,[],[],True,True,True,True,False,False,True
v1__scene_fc_blocked_v01__L2__C0_NA__r03_s28103,scene_fc_blocked_v01,FC_BLOCKED,C0,,28103,64,"[46, 64, 40, 59]",3,3,[],[],True,True,True,True,False,False,True
v1__scene_fc_blocked_v01__L2__C0_NA__r04_s28104,scene_fc_blocked_v01,FC_BLOCKED,C0,,28104,64,"[46, 64, 40, 59]",3,3,[],[],True,True,True,True,False,False,True
v1__scene_fc_blocked_v01__L2__C0_NA__r05_s28105,scene_fc_blocked_v01,FC_BLOCKED,C0,,28105,64,"[46, 64, 40, 59]",3,3,[],[],True,True,True,True,False,False,True
v1__scene_fc_blocked_v01__L2__C1_NA__r01_s28101,scene_fc_blocked_v01,FC_BLOCKED,C1,,28101,64,"[46, 64, 40, 59]",3,3,[],[],True,True,True,True,False,False,True
v1__scene_fc_blocked_v01__L2__C1_NA__r02_s28102,scene_fc_blocked_v01,FC_BLOCKED,C1,,28102,64,"[46, 64, 40, 59]",3,3,[],[],True,True,True,True,False,False,True
v1__scene_fc_blocked_v01__L2__C1_NA__r03_s28103,scene_fc_blocked_v01,FC_BLOCKED,C1,,28103,64,"[46, 64, 40, 59]",3,3,[],[],True,True,True,True,False,False,True
v1__scene_fc_blocked_v01__L2__C1_NA__r04_s28104,scene_fc_blocked_v01,FC_BLOCKED,C1,,28104,64,"[46, 64, 40, 59]",3,3,[],[],True,True,True,True,False,False,True
v1__scene_fc_blocked_v01__L2__C1_NA__r05_s28105,scene_fc_blocked_v01,FC_BLOCKED,C1,,28105,64,"[46, 64, 40, 59]",3,3,[],[],True,True,True,True,False,False,True
