scene_id,scene_family,condition_key,target_object_id,BLOCKED,CLEAR,unanimous,v19_BLOCKED
scene_fc_blocked_v01,FC_BLOCKED,C0,64,0,5,True,0
scene_fc_blocked_v02,FC_BLOCKED,C0,53,0,5,True,0
scene_fc_blocked_v03,FC_BLOCKED,C0,12,0,5,True,0
scene_fc_blocked_v04,FC_BLOCKED,C0,89,0,5,True,0
scene_fc_blocked_v05,FC_BLOCKED,C0,59,1,4,False,0
scene_fc_clear_v01,FC_CLEAR,C0,53,0,5,True,0
scene_fc_clear_v02,FC_CLEAR,C0,29,0,5,True,0
scene_fc_clear_v03,FC_CLEAR,C0,95,0,5,True,0
scene_fc_clear_v04,FC_CLEAR,C0,61,0,5,True,0
scene_fc_clear_v05,FC_CLEAR,C0,62,0,5,True,0
scene_lift_and_relocate_v01,LIFT_AND_RELOCATE,C0,59,0,5,True,4
scene_lift_and_relocate_v02,LIFT_AND_RELOCATE,C0,70,0,5,True,0
scene_lift_and_relocate_v03,LIFT_AND_RELOCATE,C0,12,0,5,True,0
scene_lift_and_relocate_v04,LIFT_AND_RELOCATE,C0,68,0,5,True,5
scene_lift_and_relocate_v05,LIFT_AND_RELOCATE,C0,43,0,5,True,5
scene_rotate_v01,ROTATE,C0,12,0,5,True,0
scene_rotate_v02,ROTATE,C0,38,5,0,True,0
scene_rotate_v03,ROTATE,C0,83,0,5,True,0
scene_rotate_v04,ROTATE,C0,47,0,5,True,0
scene_rotate_v05,ROTATE,C0,44,0,5,True,5
scene_translate_v01,TRANSLATE,C0,67,5,0,True,0
scene_translate_v02,TRANSLATE,C0,45,0,5,True,0
scene_translate_v03,TRANSLATE,C0,18,0,5,True,0
scene_translate_v04,TRANSLATE,C0,13,0,5,True,5
scene_translate_v05,TRANSLATE,C0,54,5,0,True,0
scene_fc_blocked_v01,FC_BLOCKED,C1,64,0,5,True,0
scene_fc_blocked_v02,FC_BLOCKED,C1,53,0,5,True,0
scene_fc_blocked_v03,FC_BLOCKED,C1,12,0,5,True,0
scene_fc_blocked_v04,FC_BLOCKED,C1,89,0,5,True,0
