scene_uid,scene_type,source_scene_id,method,visible_ids,expected_order,target_id,successes_out_of_5,component_accuracy_pct,metric
structured_occlusion__n3_fb1_occ_o3_single_pair_extra_front_v05,structured_occlusion,n3_fb1_occ_o3_single_pair_extra_front_v05,contact_point,"[52, 87, 99]","[52, 87, 99]",52,4,93.333,all object pairs
structured_occlusion__n3_fb1_occ_o3_single_pair_extra_front_v05,structured_occlusion,n3_fb1_occ_o3_single_pair_extra_front_v05,detailed_direct,"[52, 87, 99]","[52, 87, 99]",52,3,86.667,all object pairs
structured_occlusion__n3_fb1_occ_o3_single_pair_extra_front_v05,structured_occlusion,n3_fb1_occ_o3_single_pair_extra_front_v05,explicit_pairs,"[52, 87, 99]","[52, 87, 99]",52,0,33.333,all object pairs
structured_occlusion__n3_fb1_occ_o3_single_pair_extra_front_v05,structured_occlusion,n3_fb1_occ_o3_single_pair_extra_front_v05,minimal_direct,"[52, 87, 99]","[52, 87, 99]",52,5,100.0,all object pairs
structured_occlusion__n3_fb1_occ_o3_single_pair_extra_front_v05,structured_occlusion,n3_fb1_occ_o3_single_pair_extra_front_v05,single_target,"[52, 87, 99]","[52, 87, 99]",52,0,50.0,target relations
structured_occlusion__n3_fb1_occ_o3_single_pair_extra_front_v06,structured_occlusion,n3_fb1_occ_o3_single_pair_extra_front_v06,contact_point,"[28, 78, 86]","[86, 78, 28]",78,5,100.0,all object pairs
structured_occlusion__n3_fb1_occ_o3_single_pair_extra_front_v06,structured_occlusion,n3_fb1_occ_o3_single_pair_extra_front_v06,detailed_direct,"[28, 78, 86]","[86, 78, 28]",78,5,100.0,all object pairs
structured_occlusion__n3_fb1_occ_o3_single_pair_extra_front_v06,structured_occlusion,n3_fb1_occ_o3_single_pair_extra_front_v06,explicit_pairs,"[28, 78, 86]","[86, 78, 28]",78,0,40.0,all object pairs
structured_occlusion__n3_fb1_occ_o3_single_pair_extra_front_v06,structured_occlusion,n3_fb1_occ_o3_single_pair_extra_front_v06,minimal_direct,"[28, 78, 86]","[86, 78, 28]",78,5,100.0,all object pairs
structured_occlusion__n3_fb1_occ_o3_single_pair_extra_front_v06,structured_occlusion,n3_fb1_occ_o3_single_pair_extra_front_v06,single_target,"[28, 78, 86]","[86, 78, 28]",78,2,70.0,target relations
structured_occlusion__n3_fb1_occ_o3_single_pair_extra_front_v07,structured_occlusion,n3_fb1_occ_o3_single_pair_extra_front_v07,contact_point,"[40, 53, 79]","[40, 53, 79]",79,0,66.667,all object pairs
